sr_no,year,country,region,artist,song,artist_gender,group_solo,place,points,home_away_country,home_away_region,is_final,semi_final_number,song_in_english,song_quality,normalized_points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,happiness,decade,is_winner,top_3,top_10
332,2012,Malta,Western Europe,Kurt Calleja,This Is The Night,,,21,41,Away,Home,1,,1,0.548154615849469,0.0168308702791461,0.925031396634652,181.43188,0.0805211719234614,0.543810834219564,121.993,0.0438954220475792,0.0,0.17783130568392,4.0,1.0,-2.805,0.723856095923449,5.21663157895,2010,False,False,False
333,2012,Moldova,Former Socialist Bloc,Pasha Parfeny,L_utar,,,11,81,Away,Away,1,,1,1.76399020554984,0.0332512315270936,0.852041584561041,183.5766,0.0373843413615448,0.709004254950038,107.008,0.0362705750118113,7.0,0.478437307865476,4.0,0.0,-5.579,0.767818294065483,,2010,False,False,False
334,2012,Norway,Scandinavia,Tooji,Stay,,,26,7,Away,Away,1,,1,0.178207300234173,0.0028735632183908,0.846970058529071,177.1678,0.0128952480613286,0.567797629741003,127.013,0.114415216386562,5.0,0.323531014960349,4.0,1.0,-5.49,0.55030284404088,5.48666666667,2010,False,False,False
335,2012,Romania,Former Socialist Bloc,Mandinga,Zaleilah,,,12,71,Away,Away,1,,1,1.73797780881211,0.0291461412151067,0.82145398868041,219.07701,0.0212119158853977,0.679069551105116,126.983,0.0475057581965326,2.0,0.31660130665142,4.0,0.0,-5.42,0.822045218903846,5.48585365854,2010,False,False,False
336,2012,Russia,Former Socialist Bloc,Buranovskiye Babushki,Party For Everybody,,,2,259,Away,Home,1,,1,6.19465652269518,0.10632183908046,0.805853739445095,171.92599,0.131378164718618,0.480666872877675,125.977,0.0397884762505549,7.0,0.333005798092051,4.0,1.0,-6.661,0.827995323752096,5.21443037975,2010,False,True,True
337,2012,Serbia,Former Yugoslavia,_eljko Joksimovi_,Nije Ljubav Stvar,,,3,214,Away,Home,1,,0,4.77980123266424,0.0878489326765189,,,,,,,,,,,,,,2010,False,True,True
338,2012,Spain,Western Europe,Pastora Soler,Qu_date conmigo,,,10,97,Away,Home,1,,0,2.43879732085086,0.0398193760262726,0.273221551113035,184.0468,,0.400216056188224,84.188,0.0284713743077282,8.0,0.139804258961963,4.0,1.0,-5.856,,4.8601980198,2010,False,False,True
339,2012,Sweden,Scandinavia,Loreen,Euphoria,,,1,372,Away,Home,1,,1,9.11616619668319,0.152709359605911,0.64994171797638,214.16599,0.714239544305953,0.322560842252411,132.171,0.0412784454987743,6.0,0.0571584934844045,4.0,0.0,-6.081,0.242733913247288,5.53404255319,2010,True,True,True
340,2012,Turkey,Independent,Can Bonomo,Love Me Back,,,7,112,Away,Away,1,,1,2.56314592070544,0.0459770114942529,0.942646491479531,182.89741,0.0248585657507472,0.716795836249071,102.007,0.0422354193022846,4.0,0.323675002303427,4.0,1.0,-6.702,0.736229034551717,5.96046511628,2010,False,False,True
341,2012,Ukraine,Former Socialist Bloc,Gaitana,Be My Guest,,,15,65,Away,Away,1,,1,1.38666858537292,0.0266830870279146,0.860165355021865,182.7668,0.0120703893828724,0.518704877006888,127.868,0.069108430127696,10.0,0.244057100930476,4.0,1.0,-4.903,0.911179681309358,5.89525,2010,False,False,False
342,2012,United Kingdom,Western Europe,Engelbert Humperdinck,Love Will Set You Free,,,25,12,Away,Away,1,,1,0.452313763784403,0.00492610837438424,0.296479700573087,178.86667,0.800978815380444,0.456439048931317,120.027,0.0296418696117944,2.0,0.124981057104384,3.0,0.0,-9.001,0.181199003891382,5.68627118644,2010,False,False,False
343,2010,Albania,Former Socialist Bloc,Juliana Pasha,It's All About You,,,16,62,Away,Away,1,,1,1.60136373301981,0.0274457724656928,0.807461738792261,185.05098,0.00292159572298532,0.596592152947009,137.04,0.0306335531872319,10.0,0.271033428944786,4.0,0.0,-6.306,0.750207536675282,5.50743119266,2010,False,False,False
344,2010,Armenia,Former Socialist Bloc,Eva Rivas,Apricot Stone,,,7,141,Away,Away,1,,1,3.45944510639722,0.0624169986719788,0.661044541808231,184.83039,0.260057653178505,0.65937023639292,100.981,0.0722179088657379,7.0,0.170253380583811,4.0,1.0,-9.121,0.29886553680171,5.33723880597,2010,False,False,True
345,2010,Azerbaijan,Former Socialist Bloc,Safura,Drip Drop,,,5,145,Away,Away,1,,1,3.74229935847825,0.0641876936697654,0.673506203456032,222.49333,0.0350921705126905,0.492781587934123,73.989,0.0273526397322688,6.0,0.0784872191245492,3.0,1.0,-4.862,0.435218905314726,5.2075,2010,False,False,True
346,2010,Belarus,Former Socialist Bloc,3+2¾feat¾Robert Wells,Butterflies,,,24,18,Away,Away,1,,1,0.213124365173881,0.00796812749003984,,,,,,,,,,,,,,2010,False,False,False
347,2010,Belgium,Western Europe,Tom Dice,Me and My Guitar,,,6,143,Away,Away,1,,1,3.6098371751535,0.0633023461708721,0.358946933724858,181.27782,0.521399975241826,0.468909784074691,125.984,0.0349956376217781,9.0,0.108549024079408,4.0,1.0,-8.216,0.608224467468631,5.53096774194,2010,False,False,True
348,2010,Bosnia and Herzegovina,Former Yugoslavia,Vuka_in Braji,Thunder and Lightning,,,17,51,Away,Away,1,,1,1.20478999510481,0.0225763612217795,,,,,,,,,,,,,,2010,False,False,False
349,2010,Cyprus,Independent,Jon Lilygreen¾and¾The Islanders,Life Looks Better in Spring,,,21,27,Away,Away,1,,1,0.42425141052022,0.0119521912350598,0.577602225735648,175.75002,0.0208479430483625,0.569670985406991,76.023,0.0291575698073209,9.0,0.136239635451697,4.0,0.0,-9.515,0.5280901771291,5.76406593407,2010,False,False,False
350,2010,Denmark,Scandinavia,Chan_e and N'evergreen,In a Moment Like This,,,4,149,Away,Home,1,,1,4.07370651077116,0.067286409915892,,,,,,,,,,,,,,2010,False,False,True
351,2010,France,Western Europe,Jessy Matador,Allez Ola Ol_,,,12,82,Away,Away,1,,0,2.04304748822161,0.0362992474546259,0.815985812956659,191.26086,0.00798886966264101,0.716704096275785,129.024,0.0697004571201699,11.0,0.35022621499433,4.0,1.0,-8.021,0.920329220251741,4.98174418605,2010,False,False,False
352,2010,Georgia,Former Socialist Bloc,Sofia Nizharadze,Shine,,,9,136,Away,Away,1,,1,3.36437770375947,0.0602036299247455,0.409204012119687,181.31546,0.724840628428253,0.338748790357302,135.578,0.0375935791439618,2.0,0.166726347201998,4.0,1.0,-8.858,0.0910655432494171,5.41867768595,2010,False,False,True
353,2010,Germany,Western Europe,Lena,Satellite,,,1,246,Away,Away,1,,1,6.52658493371445,0.108897742363878,0.776138483309058,176.75864,0.00946354981269758,0.754882679999247,95.029,0.181891321689196,11.0,0.0433301942405319,4.0,0.0,-8.08,0.816348682330057,5.34441441441,2010,True,True,True
354,2010,Greece,Western Europe,Giorgos Alkaios and Friends,OPA! (___!),,,8,140,Away,Away,1,,0,3.27237722253798,0.0619743249225321,,,,,,,,,,,,,5.00875,2010,False,False,True
355,2010,Iceland,Scandinavia,Hera Björk,Je ne sais quoi,,,19,41,Away,Home,1,,1,0.974309395477621,0.018149623727313,0.890949072469185,183.95383,0.0152447767681244,0.527853379203248,131.977,0.0741745431628451,3.0,0.124905212294533,4.0,0.0,-5.156,0.55499748009909,5.54743362832,2010,False,False,False
356,2010,Ireland,Independent,Niamh Kavanagh,It's for You,,,23,25,Away,Away,1,,1,0.623452564192047,0.0110668437361664,0.485523299905012,180.50567,0.388512543787029,0.414338597894652,64.971,0.0292826661405662,0.0,0.0822792448128365,4.0,1.0,-6.174,0.14568254387547,5.31289256198,2010,False,False,False
357,2010,Israel,Independent,Harel Skaat,Milim (_____),,,14,71,Away,Away,1,,0,1.74327510807052,0.0314298362107127,0.620406319962916,182.11374,0.349944578237995,0.235287466370853,84.274,0.045254881029576,8.0,0.171209704363197,3.0,0.0,-6.198,0.254348913230966,4.91823529412,2010,False,False,False
358,2010,Moldova,Former Socialist Bloc,SunStroke Project and Olia Tira,Run Away,,,22,27,Away,Away,1,,1,0.453354973201033,0.0119521912350598,0.898348711205375,180.08771,0.0130983980829307,0.702074373358826,130.019,0.0413156238414179,11.0,0.0680425778580318,4.0,1.0,-5.834,0.78118820599018,5.4698245614,2010,False,False,False
359,2010,Norway,Scandinavia,Didrik Solli-Tangen,My Heart Is Yours,,,20,35,Home,Home,1,,1,0.959783740755185,0.015493581230633,0.238278903528916,185.54667,0.871243068135262,0.263540790572287,75.544,0.0326222963441871,9.0,0.144697839364399,4.0,1.0,-6.106,0.0177859286236909,5.47305263158,2010,False,False,False
360,2010,Portugal,Western Europe,Filipa Azevedo,Hˆ dias assim,,,18,43,Away,Away,1,,0,1.06370060755243,0.0190349712262063,0.438155596273673,177.91955,0.889419593155359,0.353357254688175,131.953,0.0338772874949764,11.0,0.0628345564950388,4.0,1.0,-7.42,0.163472902836966,5.04321428571,2010,False,False,False
361,2010,Romania,Former Socialist Bloc,Paula Seling and Ovi,Playing with Fire,,,3,162,Away,Away,1,,1,4.25285724295003,0.0717131474103586,0.810010990046602,182.89741,0.00225867508474893,0.64190799406896,122.042,0.0416594250884477,4.0,0.0408627220610685,4.0,0.0,-3.384,0.557749460102884,5.59684210526,2010,False,True,True
362,2010,Russia,Former Socialist Bloc,Peter Nalitch and Friends,Lost and Forgotten,,,11,90,Away,Away,1,,1,1.84731898077307,0.0398406374501992,0.500567490790578,173.24363,0.106124953785506,0.566748456368193,97.652,0.0268223151277286,9.0,0.0978494655498809,3.0,0.0,-6.054,0.397708338281945,,2010,False,False,False
363,2010,Serbia,Former Yugoslavia,Milan Stankovi,Ovo je Balkan (O__ je ______),,,13,72,Away,Away,1,,0,1.67749192127025,0.0318725099601594,0.738953821298909,191.13896,0.412814268451141,0.667024427930709,211.354,0.0936664835312413,10.0,0.903723441695412,4.0,1.0,-9.763,0.814591546650151,,2010,False,False,False
364,2010,Spain,Western Europe,Daniel Diges,Algo peque_ito,,,15,68,Away,Away,1,,0,1.79634307082445,0.0301018149623727,0.70255050508395,180.53179,0.316433386696091,0.56437514228169,88.464,0.0340208407955782,2.0,0.540274715509562,3.0,0.0,-3.881,0.711671597343719,4.90161616162,2010,False,False,False
365,2010,Turkey,Independent,maNga,We Could Be the Same,,,2,170,Away,Away,1,,1,4.07841559806357,0.0725984949092519,0.91100747035885,183.01342,0.0138818548668424,0.660554668833334,133.032,0.0440427418496012,2.0,0.0331756788431563,4.0,0.0,-4.891,0.565633631065887,5.59966666667,2010,False,True,True
366,2010,Ukraine,Former Socialist Bloc,Alyosha,Sweet People,,,10,108,Away,Away,1,,1,2.33512944514018,0.047808764940239,0.413793239029485,180.32281,0.606182518731939,0.661754927563259,119.954,0.0370641798489035,0.0,0.176192385649165,4.0,1.0,-6.866,0.208532159621971,5.60395604396,2010,False,False,True
